ablum,ablummid,end,id,name,singer,songmid,start,url
Dua Lipa (Deluxe),004ScbB01WWjuk,2016_44,108194826,Blow Your Mind (Mwah) (Explicit),Dua Lipa,002FNJF83FDif9,2016_44,https://y.qq.com/n/yqq/song/002FNJF83FDif9.html
Black,001vtmWe1ZY1NZ,2016_44,105917115,Different for Girls,Dierks Bentley,001GfGuJ0AfhKg,2016_24,https://y.qq.com/n/yqq/song/001GfGuJ0AfhKg.html
THat Part,001Lbdg21nx8aE,2016_44,106362020,THat Part (Explicit),Schoolboy Q,002iOYrx3vLzaT,2016_22,https://y.qq.com/n/yqq/song/002iOYrx3vLzaT.html
7/27 (Deluxe),001O02rF1Watgs,2016_44,106805601,All In My Head (Flex),Fifth Harmony,000ODK0c4a2VRI,2016_27,https://y.qq.com/n/yqq/song/000ODK0c4a2VRI.html
The Demos (Vol. 1),003hPAcq3vUy5X,2016_44,105595882,Rock On,Tucker Beathard,000JDiL312cIMn,2016_35,https://y.qq.com/n/yqq/song/000JDiL312cIMn.html
William Michael Morgan,000F7T4902d9vQ,2016_44,105726205,I Met A Girl,William Michael Morgan,002GZxxw3k0FQ4,2016_36,https://y.qq.com/n/yqq/song/002GZxxw3k0FQ4.html
I Got the Keys,002NNdi30mIU8y,2016_44,107542375,I Got the Keys (Explicit),DJ Khaled,001AiiiK1hHlUp,2016_28,https://y.qq.com/n/yqq/song/001AiiiK1hHlUp.html
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",002pSClA3L7w8i,2016_43,105899861,Just Like Fire,P!NK,0006h3ax2FIFsN,2016_18,https://y.qq.com/n/yqq/song/0006h3ax2FIFsN.html
The Life of Pablo,001su11E3TBDJY,2016_43,105842881,"Father Stretch My Hands, Pt. 1",Kanye West,003c3Yvv3TxvA8,2016_16,https://y.qq.com/n/yqq/song/003c3Yvv3TxvA8.html
You Don't Own Me,0039EvUR4gEvls,2016_43,102412365,You Don't Own Me,Grace,004BKTrx3YgxHa,2016_18,https://y.qq.com/n/yqq/song/004BKTrx3YgxHa.html
The First Time,002icEtF3FDOfn,2016_43,102426901,Peter Pan,Kelsea Ballerini,004bjZwh2hUZuI,2016_24,https://y.qq.com/n/yqq/song/004bjZwh2hUZuI.html
Oh My My (Deluxe Version),001g5bm61jbDM3,2016_43,107993702,Kids,OneRepublic,001hsOrr4OOv6w,2016_43,https://y.qq.com/n/yqq/song/001hsOrr4OOv6w.html
Forever Country,004VRGM80kJRbL,2016_43,108553156,Forever Country,Artists Of Then,0004CW6k2pHW7I,2016_40,https://y.qq.com/n/yqq/song/0004CW6k2pHW7I.html
A Seat at the Table,0042QvSg0R3tTn,2016_43,108754841,Cranes in the Sky,Solange,001SlDeD2U1d5y,2016_42,https://y.qq.com/n/yqq/song/001SlDeD2U1d5y.html
EVOL,004aHUj80Wsd3m,2016_42,105578250,Low Life (Explicit),Future,001YmNcg07ob1t,2016_8,https://y.qq.com/n/yqq/song/001YmNcg07ob1t.html
False Alarm,001m73Tv2oF8ap,2016_42,107897954,False Alarm,Matoma,003Goa1716sBYE,2016_42,https://y.qq.com/n/yqq/song/003Goa1716sBYE.html
Montevallo,001JLGuf2N6clN,2016_42,101789625,Make You Miss Me,Sam Hunt,00049Jqn1U1hFV,2016_24,https://y.qq.com/n/yqq/song/00049Jqn1U1hFV.html
A Seat at the Table,0042QvSg0R3tTn,2016_42,108754846,Don't Touch My Hair,Solange,000CdrWK0d2X8Z,2016_42,https://y.qq.com/n/yqq/song/000CdrWK0d2X8Z.html
LIFTED,000La4HC2QC1uw,2016_42,108146080,LIFTED,CL (李彩琳),000dcWhm0RqQ5p,2016_42,https://y.qq.com/n/yqq/song/000dcWhm0RqQ5p.html
Anti (Deluxe),000bkWlj1Cv4zt,2016_41,105561621,Work,Rihanna,002HPwXB1sTJG8,2016_6,https://y.qq.com/n/yqq/song/002HPwXB1sTJG8.html
I Took a Pill In Ibiza,001bTaq92xfAyi,2016_41,102949108,I Took a Pill in Ibiza (explicit SeeB Remix),Mike Posner,001i6sba0C1jmx,2016_30,https://y.qq.com/n/yqq/song/001i6sba0C1jmx.html
